0.4  negspouse(1 ,A ,B)  :-  president(C ,B)   ,  region(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(755 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(756 ,A ,B)  :-  child(A ,C)   ,  deathPlace(C ,D)   ,  deathPlace(B ,D).
0.4  negspouse(757 ,A ,B)  :-  writer(C ,A)   ,  writer(D ,B)   ,  C=D.
0.4  negspouse(758 ,A ,B)  :-  president(B ,C)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(759 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,A)   ,  parent(A ,B).
0.4  negspouse(760 ,A ,B)  :-  commander(C ,A)   ,  place(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(761 ,A ,B)  :-  spouse(C ,A)   ,  parent(B ,C).
0.39  negspouse(762 ,A ,B)  :-  child(B ,C)   ,  successor(A ,D)   ,  C=D.
0.39  negspouse(763 ,A ,B)  :-  successor(C ,A)   ,  child(B ,D)   ,  C=D.
0.4  negspouse(764 ,A ,B)  :-  predecessor(C ,B)   ,  president(D ,C)   ,  successor(A ,D).
0.4  negspouse(765 ,A ,B)  :-  office(A ,C)   ,  office(D ,C)   ,  successor(B ,D).
0.4  negspouse(766 ,A ,B)  :-  predecessor(C ,B)   ,  primeMinister(D ,C)   ,  successor(A ,D).
0.38  negspouse(767 ,A ,B)  :-  parent(B ,C)   ,  birthPlace(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(768 ,A ,B)  :-  spouse(B ,C)   ,  predecessor(D ,C)   ,  spouse(A ,D).
0.39  negspouse(769 ,A ,B)  :-  child(A ,C)   ,  child(B ,D)   ,  C=D.
0.4  negspouse(770 ,A ,B)  :-  spouse(C ,A)   ,  successor(D ,C)   ,  spouse(D ,B).
0.39  negspouse(771 ,A ,B)  :-  relative(C ,A)   ,  parent(D ,B)   ,  C=D.
0.4  negspouse(772 ,A ,B)  :-  title(B ,C)   ,  title(A ,C)   ,  C=C.
0.4  negspouse(773 ,A ,B)  :-  successor(A ,B)   ,  birthPlace(B ,C)   ,  deathPlace(A ,C).
0.39  negspouse(774 ,A ,B)  :-  relative(C ,B)   ,  child(A ,D)   ,  C=D.
0.4  negspouse(775 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(A ,C)   ,  parent(B ,A).
0.4  negspouse(776 ,A ,B)  :-  successor(C ,A)   ,  primeMinister(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(777 ,A ,B)  :-  predecessor(C ,A)   ,  successor(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(778 ,A ,B)  :-  deathPlace(A ,C)   ,  headquarter(D ,C)   ,  party(B ,D).
0.4  negspouse(779 ,A ,B)  :-  relative(C ,A)   ,  relative(C ,D)   ,  relative(B ,D).
0.4  negspouse(780 ,A ,B)  :-  office(B ,C)   ,  orderInOffice(D ,C)   ,  successor(A ,D).
0.39  negspouse(781 ,A ,B)  :-  relative(A ,C)   ,  relative(B ,C).
0.4  negspouse(782 ,A ,B)  :-  predecessor(A ,C)   ,  primeMinister(C ,D)   ,  successor(B ,D).
0.4  negspouse(783 ,A ,B)  :-  restingPlace(A ,C)   ,  birthPlace(D ,C)   ,  parent(D ,B).
0.4  negspouse(784 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(785 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(A ,C)   ,  successor(B ,A).
0.4  negspouse(786 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,A)   ,  successor(A ,B).
0.4  negspouse(787 ,A ,B)  :-  successor(C ,B)   ,  predecessor(B ,C)   ,  predecessor(A ,B).
0.4  negspouse(788 ,A ,B)  :-  successor(B ,C)   ,  country(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(789 ,A ,B)  :-  monarch(C ,A)   ,  birthPlace(C ,D)   ,  deathPlace(B ,D).
0.4  negspouse(790 ,A ,B)  :-  relative(A ,C)   ,  relative(B ,D)   ,  C=D.
0.4  negspouse(791 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(B ,C)   ,  predecessor(A ,B).
0.4  negspouse(792 ,A ,B)  :-  successor(C ,B)   ,  successor(C ,D)   ,  predecessor(D ,A).
0.39  negspouse(793 ,A ,B)  :-  parent(B ,C)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(794 ,A ,B)  :-  predecessor(A ,C)   ,  successor(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(795 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(A ,C)   ,  parent(A ,B).
0.4  negspouse(796 ,A ,B)  :-  successor(C ,B)   ,  orderInOffice(C ,D)   ,  orderInOffice(A ,D).
0.39  negspouse(797 ,A ,B)  :-  spouse(C ,B)   ,  primeMinister(A ,D)   ,  C=D.
0.4  negspouse(798 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(799 ,A ,B)  :-  predecessor(B ,C)   ,  primeMinister(C ,D)   ,  successor(A ,D).
0.39  negspouse(800 ,A ,B)  :-  activeYearsEndDate(A ,C)   ,  birthDate(B ,D)   ,  C>D.
0.39  negspouse(801 ,A ,B)  :-  spouse(C ,B)   ,  restingPlace(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(802 ,A ,B)  :-  child(A ,C)   ,  parent(B ,D)   ,  C=D.
0.4  negspouse(803 ,A ,B)  :-  successor(A ,C)   ,  parent(C ,A)   ,  predecessor(A ,B).
0.4  negspouse(804 ,A ,B)  :-  orderInOffice(A ,C)   ,  orderInOffice(B ,C)   ,  C=C.
0.4  negspouse(805 ,A ,B)  :-  spouse(C ,A)   ,  predecessor(C ,D)   ,  spouse(D ,B).
0.39  negspouse(806 ,A ,B)  :-  activeYearsStartDate(A ,C)   ,  deathDate(B ,D)   ,  C<D.
0.4  negspouse(807 ,A ,B)  :-  successor(C ,B)   ,  primeMinister(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(808 ,A ,B)  :-  successor(B ,C)   ,  primeMinister(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(809 ,A ,B)  :-  successor(C ,B)   ,  president(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(810 ,A ,B)  :-  predecessor(C ,B)   ,  successor(C ,D)   ,  successor(D ,A).
0.39  negspouse(811 ,A ,B)  :-  relative(C ,A)   ,  child(D ,B)   ,  C=D.
0.4  negspouse(812 ,A ,B)  :-  successor(B ,C)   ,  predecessor(D ,C)   ,  successor(A ,D).
0.4  negspouse(813 ,A ,B)  :-  birthPlace(A ,C)   ,  country(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(814 ,A ,B)  :-  successor(C ,B)   ,  religion(C ,D)   ,  religion(A ,D).
0.4  negspouse(815 ,A ,B)  :-  predecessor(C ,A)   ,  religion(C ,D)   ,  religion(B ,D).
0.4  negspouse(816 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(C ,D)   ,  predecessor(A ,D).
0.39  negspouse(817 ,A ,B)  :-  president(A ,C)   ,  predecessor(B ,D)   ,  C=D.
0.4  negspouse(818 ,A ,B)  :-  successor(A ,B)   ,  parent(B ,C)   ,  spouse(A ,C).
0.4  negspouse(819 ,A ,B)  :-  successor(B ,C)   ,  successor(C ,D)   ,  successor(A ,D).
0.38  negspouse(820 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(B ,C)   ,  birthPlace(B ,C).
0.4  negspouse(821 ,A ,B)  :-  predecessor(B ,C)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(822 ,A ,B)  :-  spouse(C ,B)   ,  parent(A ,C).
0.4  negspouse(824 ,A ,B)  :-  successor(B ,C)   ,  predecessor(A ,C).
0.39  negspouse(825 ,A ,B)  :-  relation(C ,B)   ,  successor(A ,D)   ,  C=D.
0.39  negspouse(826 ,A ,B)  :-  president(A ,C)   ,  predecessor(D ,B)   ,  D=C.
0.4  negspouse(827 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(C ,D)   ,  predecessor(B ,D).
0.39  negspouse(828 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  president(B ,D).
0.4  negspouse(829 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  predecessor(A ,B).
0.4  negspouse(830 ,A ,B)  :-  successor(A ,C)   ,  successor(D ,C)   ,  successor(B ,D).
0.4  negspouse(831 ,A ,B)  :-  spouse(C ,B)   ,  child(C ,A).
0.4  negspouse(832 ,A ,B)  :-  successor(A ,B)   ,  predecessor(C ,B)   ,  parent(C ,B).
0.4  negspouse(833 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,B)   ,  successor(B ,A).
0.39  negspouse(834 ,A ,B)  :-  birthPlace(A ,C)   ,  capital(D ,C)   ,  deathPlace(B ,D).
0.4  negspouse(835 ,A ,B)  :-  almaMater(A ,C)   ,  almaMater(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(836 ,A ,B)  :-  almaMater(B ,C)   ,  almaMater(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(837 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(D ,C)   ,  successor(D ,A).
0.4  negspouse(838 ,A ,B)  :-  deathPlace(A ,C)   ,  country(D ,C)   ,  party(B ,D).
0.4  negspouse(839 ,A ,B)  :-  deathPlace(B ,C)   ,  restingPlace(B ,C)   ,  parent(A ,B).
0.4  negspouse(840 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,A)   ,  parent(B ,A).
0.4  negspouse(841 ,A ,B)  :-  office(A ,C)   ,  orderInOffice(B ,C).
0.4  negspouse(842 ,A ,B)  :-  parent(C ,B)   ,  birthPlace(C ,D)   ,  restingPlace(A ,D).
0.4  negspouse(843 ,A ,B)  :-  successor(C ,B)   ,  parent(B ,C)   ,  parent(A ,B).
0.39  negspouse(844 ,A ,B)  :-  successor(C ,B)   ,  nationality(C ,D)   ,  nationality(A ,D).
0.4  negspouse(845 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,B)   ,  parent(B ,A).
0.4  negspouse(846 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  child(D ,B).
0.39  negspouse(847 ,A ,B)  :-  almaMater(B ,C)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(848 ,A ,B)  :-  predecessor(B ,C)   ,  birthPlace(C ,D)   ,  deathPlace(A ,D).
0.39  negspouse(849 ,A ,B)  :-  president(C ,B)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(850 ,A ,B)  :-  deathPlace(B ,C)   ,  restingPlace(A ,C).
0.4  negspouse(851 ,A ,B)  :-  child(A ,B)   ,  child(C ,B)   ,  spouse(C ,A).
0.4  negspouse(852 ,A ,B)  :-  party(B ,C)   ,  party(D ,C)   ,  child(A ,D).
0.4  negspouse(853 ,A ,B)  :-  successor(C ,A)   ,  predecessor(D ,C)   ,  successor(B ,D).
0.4  negspouse(855 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(856 ,A ,B)  :-  successor(B ,C)   ,  successor(C ,D)   ,  predecessor(D ,A).
0.39  negspouse(857 ,A ,B)  :-  parent(C ,B)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(858 ,A ,B)  :-  monarch(C ,B)   ,  parent(A ,D)   ,  C=D.
0.4  negspouse(859 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(D ,C)   ,  primeMinister(A ,D).
0.4  negspouse(860 ,A ,B)  :-  parent(C ,A)   ,  parent(D ,B)   ,  D=C.
0.4  negspouse(861 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,D)   ,  successor(B ,D).
0.39  negspouse(862 ,A ,B)  :-  child(C ,B)   ,  child(A ,D)   ,  D=C.
0.39  negspouse(863 ,A ,B)  :-  deathPlace(B ,C)   ,  birthPlace(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(864 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  child(A ,B).
0.4  negspouse(865 ,A ,B)  :-  predecessor(B ,A).
0.4  negspouse(866 ,A ,B)  :-  predecessor(C ,B)   ,  parent(C ,B)   ,  parent(B ,A).
0.38  negspouse(867 ,A ,B)  :-  termPeriod(A ,C)   ,  predecessor(B ,D)   ,  C=D.
0.39  negspouse(868 ,A ,B)  :-  spouse(C ,B)   ,  predecessor(C ,D)   ,  spouse(A ,D).
0.4  negspouse(869 ,A ,B)  :-  commander(C ,B)   ,  commander(C ,D)   ,  successor(A ,D).
0.4  negspouse(870 ,A ,B)  :-  commander(C ,B)   ,  place(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(871 ,A ,B)  :-  successor(A ,C)   ,  president(C ,D)   ,  successor(D ,B).
0.39  negspouse(872 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(873 ,A ,B)  :-  successor(C ,B)   ,  primeMinister(C ,D)   ,  successor(D ,A).
0.39  negspouse(874 ,A ,B)  :-  nationality(A ,C)   ,  nationality(D ,C)   ,  successor(D ,B).
0.4  negspouse(875 ,A ,B)  :-  nationality(B ,C)   ,  nationality(D ,C)   ,  successor(D ,A).
0.4  negspouse(876 ,A ,B)  :-  successor(A ,B)   ,  birthPlace(B ,C)   ,  deathPlace(B ,C).
0.39  negspouse(877 ,A ,B)  :-  child(A ,C)   ,  successor(B ,D)   ,  C=D.
0.4  negspouse(878 ,A ,B)  :-  successor(C ,A)   ,  successor(C ,D)   ,  successor(D ,B).
0.4  negspouse(879 ,A ,B)  :-  successor(B ,C)   ,  almaMater(C ,D)   ,  almaMater(A ,D).
0.39  negspouse(880 ,A ,B)  :-  child(A ,C)   ,  relative(D ,B)   ,  D=C.
0.4  negspouse(881 ,A ,B)  :-  spouse(B ,C)   ,  successor(C ,D)   ,  spouse(A ,D).
0.4  negspouse(882 ,A ,B)  :-  successor(B ,C)   ,  parent(C ,B)   ,  parent(A ,B).
0.4  negspouse(883 ,A ,B)  :-  relative(B ,C)   ,  relative(C ,D)   ,  relative(A ,D).
0.4  negspouse(884 ,A ,B)  :-  predecessor(C ,A)   ,  primeMinister(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(885 ,A ,B)  :-  successor(B ,A)   ,  successor(C ,B)   ,  predecessor(C ,B).
0.4  negspouse(886 ,A ,B)  :-  spouse(A ,C)   ,  predecessor(D ,C)   ,  spouse(B ,D).
0.39  negspouse(887 ,A ,B)  :-  successor(A ,C)   ,  child(B ,D)   ,  D=C.
0.4  negspouse(888 ,A ,B)  :-  successor(C ,B)   ,  predecessor(C ,D)   ,  predecessor(D ,A).
0.4  negspouse(889 ,A ,B)  :-  relative(C ,B)   ,  child(D ,C)   ,  spouse(A ,D).
0.4  negspouse(890 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  successor(A ,B).
0.4  negspouse(891 ,A ,B)  :-  successor(C ,A)   ,  office(C ,D)   ,  office(B ,D).
0.4  negspouse(892 ,A ,B)  :-  predecessor(A ,C)   ,  president(C ,D)   ,  successor(D ,B).
0.4  negspouse(893 ,A ,B)  :-  occupation(A ,C)   ,  occupation(D ,C)   ,  associatedMusicalArtist(D ,B).
0.38  negspouse(894 ,A ,B)  :-  termPeriod(B ,C)   ,  predecessor(D ,A)   ,  C=D.
0.38  negspouse(895 ,A ,B)  :-  termPeriod(A ,C)   ,  predecessor(D ,B)   ,  C=D.
0.4  negspouse(896 ,A ,B)  :-  predecessor(A ,C)   ,  primeMinister(C ,D)   ,  successor(D ,B).
0.4  negspouse(897 ,A ,B)  :-  predecessor(B ,C)   ,  primeMinister(C ,D)   ,  successor(D ,A).
0.4  negspouse(898 ,A ,B)  :-  relative(A ,C)   ,  relative(D ,B)   ,  C=D.
0.39  negspouse(899 ,A ,B)  :-  relative(B ,C)   ,  relative(D ,A)   ,  C=D.
0.4  negspouse(900 ,A ,B)  :-  successor(A ,B).
0.39  negspouse(901 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  successor(B ,D).
0.4  negspouse(902 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  successor(B ,A).
0.4  negspouse(903 ,A ,B)  :-  successor(C ,A)   ,  primeMinister(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(904 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(D ,C)   ,  successor(D ,A).
0.4  negspouse(905 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(D ,C)   ,  successor(D ,B).
0.39  negspouse(906 ,A ,B)  :-  relative(A ,C)   ,  birthPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(907 ,A ,B)  :-  relative(A ,C)   ,  relative(D ,C)   ,  relative(B ,D).
0.4  negspouse(908 ,A ,B)  :-  parent(C ,A)   ,  restingPlace(C ,D)   ,  restingPlace(B ,D).
0.38  negspouse(909 ,A ,B)  :-  termPeriod(B ,C)   ,  party(A ,D)   ,  C=D.
0.39  negspouse(910 ,A ,B)  :-  primeMinister(A ,C)   ,  spouse(D ,B)   ,  D=C.
0.4  negspouse(911 ,A ,B)  :-  restingPlace(B ,C)   ,  restingPlace(D ,C)   ,  parent(D ,A).
0.39  negspouse(912 ,A ,B)  :-  restingPlace(A ,C)   ,  restingPlace(D ,C)   ,  parent(D ,B).
0.4  negspouse(913 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(C ,D)   ,  predecessor(D ,A).
0.4  negspouse(914 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(915 ,A ,B)  :-  religion(B ,C)   ,  religion(D ,C)   ,  successor(D ,A).
0.4  negspouse(916 ,A ,B)  :-  religion(A ,C)   ,  religion(D ,C)   ,  successor(D ,B).
0.4  negspouse(917 ,A ,B)  :-  spouse(B ,C)   ,  predecessor(D ,C)   ,  spouse(D ,A).
0.39  negspouse(918 ,A ,B)  :-  spouse(A ,C)   ,  predecessor(D ,C)   ,  spouse(D ,B).
0.4  negspouse(919 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  parent(B ,A).
0.4  negspouse(920 ,A ,B)  :-  successor(A ,B)   ,  office(B ,C)   ,  C=C.
0.4  negspouse(921 ,A ,B)  :-  predecessor(B ,C)   ,  religion(C ,D)   ,  religion(A ,D).
0.4  negspouse(922 ,A ,B)  :-  spouse(A ,C)   ,  child(C ,D)   ,  relative(D ,B).
0.4  negspouse(923 ,A ,B)  :-  successor(C ,B)   ,  predecessor(C ,D)   ,  predecessor(A ,D).
0.4  negspouse(924 ,A ,B)  :-  predecessor(C ,B)   ,  primeMinister(D ,C)   ,  predecessor(D ,A).
0.39  negspouse(925 ,A ,B)  :-  child(A ,C)   ,  successor(D ,B)   ,  C=D.
0.39  negspouse(926 ,A ,B)  :-  child(B ,C)   ,  successor(D ,A)   ,  C=D.
0.4  negspouse(927 ,A ,B)  :-  child(C ,B)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(928 ,A ,B)  :-  deathPlace(A ,C)   ,  birthPlace(D ,C)   ,  predecessor(B ,D).
0.39  negspouse(929 ,A ,B)  :-  child(A ,C)   ,  child(D ,B)   ,  C=D.
0.4  negspouse(930 ,A ,B)  :-  party(A ,C)   ,  headquarter(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(931 ,A ,B)  :-  party(B ,C)   ,  country(C ,D)   ,  deathPlace(A ,D).
0.39  negspouse(932 ,A ,B)  :-  spouse(B ,C)   ,  primeMinister(A ,D)   ,  C=D.
0.39  negspouse(933 ,A ,B)  :-  parent(C ,B)   ,  child(D ,A)   ,  C=D.
0.4  negspouse(934 ,A ,B)  :-  successor(A ,B)   ,  successor(B ,C)   ,  parent(C ,B).
0.4  negspouse(935 ,A ,B)  :-  successor(C ,B)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(936 ,A ,B)  :-  predecessor(A ,B)   ,  activeYearsEndYear(B ,C)   ,  activeYearsStartYear(A ,C).
0.4  negspouse(937 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(C ,A).
0.39  negspouse(938 ,A ,B)  :-  president(B ,C)   ,  successor(A ,D)   ,  C=D.
0.4  negspouse(939 ,A ,B)  :-  predecessor(C ,B)   ,  successor(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(940 ,A ,B)  :-  parent(B ,C)   ,  restingPlace(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(941 ,A ,B)  :-  parent(C ,B)   ,  restingPlace(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(942 ,A ,B)  :-  parent(B ,C)   ,  parent(D ,C)   ,  predecessor(D ,A).
0.39  negspouse(943 ,A ,B)  :-  spouse(B ,C)   ,  restingPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(944 ,A ,B)  :-  successor(A ,C)   ,  orderInOffice(C ,D)   ,  office(B ,D).
0.4  negspouse(945 ,A ,B)  :-  successor(C ,A)   ,  parent(A ,C)   ,  parent(B ,A).
0.4  negspouse(946 ,A ,B)  :-  party(B ,C)   ,  party(A ,C)   ,  predecessor(B ,A).
0.4  negspouse(947 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(948 ,A ,B)  :-  spouse(C ,A)   ,  predecessor(C ,D)   ,  spouse(B ,D).
0.4  negspouse(949 ,A ,B)  :-  successor(C ,B)   ,  predecessor(D ,C)   ,  successor(A ,D).
0.4  negspouse(950 ,A ,B)  :-  predecessor(C ,B)   ,  office(C ,D)   ,  office(A ,D).
0.4  negspouse(951 ,A ,B)  :-  successor(C ,A)   ,  predecessor(C ,A)   ,  predecessor(A ,B).
0.4  negspouse(952 ,A ,B)  :-  successor(C ,B)   ,  successor(C ,D)   ,  successor(A ,D).
0.39  negspouse(953 ,A ,B)  :-  parent(C ,A)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.39  negspouse(954 ,A ,B)  :-  parent(C ,B)   ,  predecessor(D ,A)   ,  D=C.
0.4  negspouse(955 ,A ,B)  :-  successor(C ,A)   ,  successor(D ,C)   ,  predecessor(B ,D).
0.39  negspouse(956 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(957 ,A ,B)  :-  orderInOffice(A ,C)   ,  orderInOffice(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(958 ,A ,B)  :-  successor(B ,C)   ,  successor(D ,C)   ,  successor(D ,A).
0.4  negspouse(959 ,A ,B)  :-  successor(A ,C)   ,  successor(D ,C)   ,  successor(D ,B).
0.4  negspouse(960 ,A ,B)  :-  child(A ,B).
0.39  negspouse(961 ,A ,B)  :-  deathPlace(B ,C)   ,  birthPlace(D ,C)   ,  parent(A ,D).
0.4  negspouse(962 ,A ,B)  :-  relative(C ,B)   ,  relative(C ,A)   ,  relative(A ,B).
0.39  negspouse(963 ,A ,B)  :-  president(C ,A)   ,  spouse(D ,B)   ,  C=D.
0.4  negspouse(964 ,A ,B)  :-  relative(C ,A)   ,  relative(D ,B)   ,  D=C.
0.4  negspouse(965 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,B).
0.4  negspouse(966 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,A)   ,  successor(B ,A).
0.4  negspouse(967 ,A ,B)  :-  predecessor(B ,C)   ,  successor(D ,C)   ,  predecessor(A ,D).
0.39  negspouse(968 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(D ,C)   ,  relative(A ,D).
0.39  negspouse(969 ,A ,B)  :-  child(B ,C)   ,  termPeriod(A ,D)   ,  D=C.
0.4  negspouse(970 ,A ,B)  :-  predecessor(C ,A)   ,  parent(C ,A)   ,  parent(B ,A).
0.4  negspouse(971 ,A ,B)  :-  almaMater(A ,C)   ,  country(C ,D)   ,  deathPlace(B ,D).
0.4  negspouse(972 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(A ,C)   ,  predecessor(A ,B).
0.39  negspouse(973 ,A ,B)  :-  predecessor(C ,B)   ,  religion(C ,D)   ,  religion(A ,D).
0.4  negspouse(974 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(975 ,A ,B)  :-  predecessor(B ,C)   ,  primeMinister(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(976 ,A ,B)  :-  successor(C ,A)   ,  successor(C ,D)   ,  successor(B ,D).
0.4  negspouse(977 ,A ,B)  :-  almaMater(A ,C)   ,  almaMater(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(978 ,A ,B)  :-  predecessor(C ,A)   ,  primeMinister(C ,D)   ,  predecessor(D ,B).
0.38  negspouse(979 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(D ,C)   ,  parent(A ,D).
0.39  negspouse(980 ,A ,B)  :-  predecessor(A ,C)   ,  party(C ,D)   ,  party(B ,D).
0.39  negspouse(981 ,A ,B)  :-  parent(C ,B)   ,  restingPlace(C ,D)   ,  restingPlace(A ,D).
0.39  negspouse(982 ,A ,B)  :-  predecessor(C ,A)   ,  deathPlace(C ,D)   ,  deathPlace(B ,D).
0.41  negspouse(983 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(A ,C)   ,  successor(A ,B).
0.4  negspouse(984 ,A ,B)  :-  child(C ,B)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(985 ,A ,B)  :-  predecessor(C ,B)   ,  orderInOffice(C ,D)   ,  orderInOffice(A ,D).
0.4  negspouse(986 ,A ,B)  :-  predecessor(A ,C)   ,  almaMater(C ,D)   ,  almaMater(B ,D).
0.39  negspouse(987 ,A ,B)  :-  child(A ,C)   ,  relative(B ,D)   ,  D=C.
0.4  negspouse(988 ,A ,B)  :-  relative(C ,A)   ,  relative(B ,C).
0.4  negspouse(989 ,A ,B)  :-  orderInOffice(A ,C)   ,  office(D ,C)   ,  successor(D ,B).
0.4  negspouse(990 ,A ,B)  :-  orderInOffice(B ,C)   ,  office(D ,C)   ,  successor(D ,A).
0.4  negspouse(991 ,A ,B)  :-  successor(C ,B)   ,  president(C ,D)   ,  successor(D ,A).
0.4  negspouse(992 ,A ,B)  :-  predecessor(A ,B)   ,  deathPlace(B ,C)   ,  birthPlace(A ,C).
0.39  negspouse(993 ,A ,B)  :-  successor(A ,C)   ,  president(B ,D)   ,  D=C.
0.4  negspouse(994 ,A ,B)  :-  successor(C ,A)   ,  nationality(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(995 ,A ,B)  :-  parent(C ,A)   ,  title(C ,D)   ,  title(B ,D).
0.4  negspouse(996 ,A ,B)  :-  president(A ,C)   ,  president(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(997 ,A ,B)  :-  relative(C ,B)   ,  relative(C ,D)   ,  relative(A ,D).
0.4  negspouse(998 ,A ,B)  :-  parent(B ,C)   ,  activeYearsEndYear(C ,D)   ,  activeYearsEndYear(A ,D).
0.4  negspouse(999 ,A ,B)  :-  deathPlace(A ,C)   ,  country(D ,C)   ,  successor(B ,D).
0.4  negspouse(1000 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  relative(A ,B).
