The_Best_of_Times_(2002_film),Chang_Tso-chi
The_Port_of_Missing_Girls,Irving_Cummings
Marie_(film),Roger_Donaldson
The_Last_Waltz,Martin_Scorsese
Officer_Pooch,William_Hanna
Malootty,Bharathan
Human_Terrain:_War_Becomes_Academic,James_Der_Derian
Thank_Your_Lucky_Stars_(film),David_Butler_(director)
The_Gay_Diplomat,Richard_Boleslawski
Ang_Babaeng_Hinugot_sa_Aking_Tadyang,Topel_Lee
Maan_Gaye_Ustaad,Shibu_Mitra
Redlight_(film),Adi_Ezroni
Dog_Day_Afternoon,Sidney_Lumet
Cinderella_(2006_film),Bong_Man-dae
The_Shadow_of_Silk_Lennox,Jack_Nelson_(actor)
Nothing_Left_to_Do_But_Cry,Roberto_Benigni
Cheaper_by_the_Dozen_2,Adam_Shankman
The_Kangaroo_Kid_(film),Lesley_Selander
Mad_Youth,Melville_Shyer
Scream_and_Scream_Again,Gordon_Hessler
A_Sister_to_Assist_'Er_(1927_film),George_Dewhurst
Dard_Ka_Rishta,Sunil_Dutt
Cross_Shot,Stelvio_Massi
Amanda_Fallon,Jack_Laird
Walang_Forever,Dan_Villegas
Providence_(Agents_of_S.H.I.E.L.D.),Milan_Cheylov
I_Have_Lived,Richard_Thorpe
Paradise_(TV_series),Robert_Scheerer
Human_Cargo_(film),Allan_Dwan
Enter_Laughing_(film),Carl_Reiner
Doin'_Time_on_Planet_Earth,Charles_Matthau
Interpretation_of_Dreams_(film),Andrei_Zagdansky
Hanging_Up,Diane_Keaton
Demi-soeur,Josiane_Balasko
Southie_(film),John_Shea
The_Little_Colonel_(1960_film),Antonio_del_Amo
The_Iceman_Cometh_(1973_film),John_Frankenheimer
Something_of_Value,Richard_Brooks
Struck_Oil_(film),Franklyn_Barrett
Fair_Exchange_(film),Ralph_Ince
Barcode_(film),Mostafa_Kiayee
Navy_Wife,Edward_Bernds
Dinocroc_vs._Supergator,Jim_Wynorski
Never_Cry_Wolf_(film),Carroll_Ballard
The_Ward_(film),John_Carpenter
Curtains_(Under_the_Dome),Jack_Bender
The_Indians_Are_Coming,Henry_MacRae
Justice_League_of_America_(1997_film),Félix_Enríquez_Alcalá
Manidhan_Marivittan,Manivannan
Ursus_in_the_Land_of_Fire,Giorgio_Simonelli
Used_People,Beeban_Kidron
Young_Desire_(film),Lewis_D._Collins
The_Cohens_and_the_Kellys_in_Atlantic_City,William_James_Craft
I'd_Receive_the_Worst_News_from_Your_Beautiful_Lips,Beto_Brant
Embarrassing_Moments,William_James_Craft
Booker's_Place:_A_Mississippi_Story,Raymond_De_Felitta
The_Sea_Inside,Alejandro_Amenábar
Sugar_(2008_film),Ryan_Fleck
The_Unknown_Known,Errol_Morris
The_Outlaw,Howard_Hawks
Bunyan_and_Babe,Tony_Bancroft
Broken_Path,Koichi_Sakamoto
The_Call_of_the_East,George_Melford
Wedding_Group,Alex_Bryce
Bloodhounds_of_Broadway_(1952_film),Harmon_Jones
Sir_Francis_Drake_(TV_series),Clive_Donner
Pusher_3,Nicolas_Winding_Refn
Simhada_Mari_Sainya,Rajendra_Singh_Babu
Blue_Dream,Gregory_Hatanaka
Sweet_Hearts_Dance,Robert_Greenwald
The_Irresistible_Lover,William_Beaudine
The_Turn_of_the_Wheel,Reginald_Barker
Bright_Eyes_(1929_film),Géza_von_Bolváry
"Shake,_Rattle_&_Roll_III",Peque_Gallaga
Song_of_the_City,Errol_Taggart
Back_of_the_Shop,Andrew_Fried
An_Intimate_Story,Nadav_Levitan
Porno_Holocaust,Joe_D'Amato
The_Sin_of_Rogelia_Sanchez,Carlo_Borghesio
Spirit:_Stallion_of_the_Cimarron,Kelly_Asbury
Destiny's_Son,Kenji_Misumi
On_Golden_Pond_(2001_film),Ernest_Thompson
The_Whispering_Star,Sion_Sono
Tactics_Ogre:_Let_Us_Cling_Together,Hiroshi_Minagawa
Small_Wonder_(TV_series),Peter_Baldwin_(director)
Sakura_no_Sono__live_film__1,Shun_Nakahara
A_Sentimental_Attempt,Massimo_Franciosa
Outlaws_of_the_Orient,Ernest_B._Schoedsack
I_Have_Two_Mothers_and_Two_Fathers,Krešo_Golik
Rex_the_Runt,Sam_Fell
Moscow_Heat,Jeff_Celentano
Shuva_(film),Chashi_Nazrul_Islam
Scrub_Me_Mama_with_a_Boogie_Beat,Walter_Lantz
Firebreather_(film),Peter_Chung
The_Magnetic_Monster,Curt_Siodmak
The_Big_Heart_of_Girls,Pupi_Avati
Altars_of_Desire,Christy_Cabanne
Dunia_(1946_film),Mohammed_Karim
Florida_Straits_(film),Mike_Hodges
Jaanam,Vikram_Bhatt
Gentleman_(1993_film),S._Shankar
Carrie_(1976_film),Brian_De_Palma
Snowpiercer,Bong_Joon-ho
Remembrance_(2001_film),Stephanie_Morgenstern
The_Satin_Slipper_(film),Manoel_de_Oliveira
Scooby's_Mystery_Funhouse,John_Walker_(animator)
Jenifer_(Masters_of_Horror),Dario_Argento
Flight_from_Death,Patrick_Shen
Barn_av_solen,Arne_Skouen
Tenjho_Tenge__ova__1,Rintaro
Ancient_Inventions,Phil_Grabsky
The_Barbara_Stanwyck_Show,Richard_Whorf
The_King_of_Comedy_(1983_film),Martin_Scorsese
Mouse_in_Manhattan,William_Hanna
Srimadvirat_Veerabrahmendra_Swami_Charitra,N._T._Rama_Rao
A_Wreath_in_Time,D._W._Griffith
Glory_(1989_film),Edward_Zwick
Sundara_Pandian,R._Raghu
Camp_Nowhere,Jonathan_Prince
Galacticast,Rudy_Jahchan
Trilogy_(film),Frank_Perry
Soul_Plane,Jessy_Terrero
Vivo_Por_Elena,Rafael_Rojas
Commencement_Day,Robert_F._McGowan
The_Dam_Busters_(film),Michael_Anderson_(director)
Man_and_His_Kingdom_(film),Maurice_Elvey
Doom_(2016_video_game),Marty_Stratton
On_the_Loose_(1951_film),Charles_Lederer
Jarinko_Chie__tv_series__1,Kazuyoshi_Yokota
WarioWare:_Snapped!,Naoko_Mori
National_Lampoon's_Vacation_(film_series),Jonathan_Goldstein_(screenwriter)
The_Children_Thief,Christian_de_Chalonge
Lemonade_(Beyoncé_album),Melina_Matsoukas
The_Vanishing_Pioneer,John_Waters_(director_born_1893)
The_Topeka_Terror,Howard_Bretherton
Diez_segundos,Alejandro_Wehner
All_Hail_the_King,Drew_Pearce
Désirée_(film),Henry_Koster
I_Am_Comic,Jordan_Brady
The_Three_Musketeers_(1921_film),Fred_Niblo
Aashiq_(1962_film),Hrishikesh_Mukherjee
The_Last_Impresario,Gracie_Otto
City_Under_Siege_(film),Benny_Chan_(film_director)
Noi_the_Albino,Dagur_Kári
"I_Want_a_Dog_for_Christmas,_Charlie_Brown",Bill_Melendez
Mujhe_Meri_Biwi_Se_Bachaao,Harry_Baweja
Popeye_Meets_the_Man_Who_Hated_Laughter,Hal_Seeger
Riders_of_Death_Valley,Ray_Taylor_(director)
Black_Lightning_(1924_film),James_P._Hogan_(director)
Saturday_Evening_Puss,William_Hanna
Ator,Alfonso_Brescia
Master_and_Man_(1934_film),John_Harlow_(director)
Otoko_wa_Tsurai_yo,Yoji_Yamada
Aksharathettu,I._V._Sasi
Chaatta,Bharathan
Obake_no_Q-tarō__tv_series__1,Tadao_Nagahama
Ecstasy_of_the_Angels,Kōji_Wakamatsu
Kill_Your_Friends_(film),Owen_Harris_(director)
Eternal_Sunshine_of_the_Spotless_Mind,Michel_Gondry
Awaara_(1951_film),Raj_Kapoor
The_Magnificent_Matador,Budd_Boetticher
The_Belle_Starr_Story,Lina_Wertmüller
Strike_(1925_film),Sergei_Eisenstein
Just_William_(film),Graham_Cutts
Profiles_in_Courage_(TV_series),Michael_Ritchie_(film_director)
Me_Without_You_(film),Sandra_Goldbacher
Holiday_for_Shoestrings,Friz_Freleng
Richie_Rich_Show,George_Gordon_(animator)
Special_Delivery_(1922_film),Roscoe_Arbuckle
Big_Timber_(film),William_Desmond_Taylor
Evil_Toons,Fred_Olen_Ray
Dirty_Girls,Michael_Gershman_(director)
Raja_Paarvai,Singeetam_Srinivasa_Rao
Kanna_Nalama,K._Balachander
Full_Circle_(1935_film),George_King_(film_director)
The_Ancestor,Guido_Brignone
Dagvaktin,Ragnar_Bragason
"Tom,_Dick_and_Harry_(1941_film)",Garson_Kanin
Anne_Trister,Léa_Pool
Murphy's_Romance,Martin_Ritt
Budak_Nafsu,Sjumandjaja
The_Rum_Diary_(film),Bruce_Robinson
Cash_for_Gold_(South_Park),Trey_Parker
Barbershop_2:_Back_in_Business,Kevin_Rodney_Sullivan
Granite_Mountain_(film),Joseph_Kosinski
Tiger_Cage_(film),Yuen_Woo-ping
The_Honesty_of_the_Look,Luis_Escobar_Kirkpatrick
Vidhyarthikale_Ithile_Ithile,John_Abraham_(director)
The_Van_Nostrand_Tiara,Anthony_O'Sullivan
Aqua_Teen_Hunger_Force,Dave_Willis
Cheated_Hearts_(film),Hobart_Henley
A_Fear_of_Strangers,Herbert_Wise
Invasion_of_the_Body_Snatchers_(1978_film),Philip_Kaufman
Something_to_Live_For_(film),George_Stevens
Do_Sholay,Sukhdev_Ahluwalia
Legion_of_the_Dead_(film),Paul_Bales
Disinformation_(TV_series),Craig_Melville
What's_the_Worst_That_Could_Happen%3F,Sam_Weisman
Hare-um_Scare-um,Cal_Dalton
Day_and_Night_(2004_Swedish_film),Simon_Staho
The_Company_You_Keep_(film),Robert_Redford
Go_Fish_(TV_series),Arlene_Sanford
The_Time_of_Your_Life_(film),H._C._Potter
Face_Down_(film),Kamen_Kalev
Liverpool_(2012_film),Manon_Briand
Life_with_Father_(film),Michael_Curtiz
Typhoon_(1933_film),Robert_Wiene
Embassy_(TV_series),Kate_Woods
Bimbo's_Initiation,Dave_Fleischer
Ajantrik,Ritwik_Ghatak
If_These_Walls_Could_Talk_2,Jane_Anderson
Spring_Subway,Zhang_Yibai
To_Beat_the_Band,Kenny_Holmes
Dave_Brubeck:_In_His_Own_Sweet_Way,Bruce_Ricker
Night_Man,David_Winning
Pilot_(Lost),J._J._Abrams
The_Drawn_Together_Movie:_The_Movie!,Greg_Franklin
It_Girls,Robin_Melanie_Leacock
Arcade_(film),Albert_Pyun
Spectacular!,Robert_Iscove
Live..._In_the_Still_of_the_Night,Hamish_Hamilton_(director)
In_Satmar_Custody,Nitzan_Gilady
Voyage_to_the_Prehistoric_Planet,Curtis_Harrington
Snow_Cake,Marc_Evans
Dog_Tags_(film),Damion_Dietz
Un_Amor_en_Moisés_Ville,Antonio_Ottone
Fourth_Liberty_Loans:_I_Had_A_Son,Ken_G._Hall
Safe_at_Home!,Walter_Doniger
Winter_Stories,François_Bouvier
Cennetin_Kapısı,Fikret_Hakan
Dinner_for_Adele,Oldřich_Lipský
The_Devil's_Carnival,Darren_Lynn_Bousman
Jerry's_Diary,William_Hanna
In_the_Winter_Dark_(film),James_Bogle
Les_Aventures_de_Till_L'Espiègle,Joris_Ivens
Cinnamon_Skin_(film),Juan_José_Ortega
The_House_of_Angelo,Jim_Goddard
On_the_Sunny_Side_(1942_film),Harold_D._Schuster
Talaash_(Pakistani_TV_series),Atiqa_Odho
Cheenavala,Kunchacko
Hareendran_Oru_Nishkalankan,Vinayan
Clean_(film),Olivier_Assayas
For_Keeps_(film),John_G._Avildsen
Nan_O'_the_Backwoods,Sidney_Olcott
Is_Matrimony_a_Failure%3F,James_Cruze
Dead_Ahead:_The_Exxon_Valdez_Disaster,Paul_Seed
"Partir,_revenir",Claude_Lelouch
Raasta_(2016_film),Sahir_Lodhi
The_Queen_of_Spades_(1916_film),Yakov_Protazanov
Born_Reckless_(1937_film),Gustav_Machatý
Princezna_se_zlatou_hvězdou,Martin_Frič
The_Man_Who_Lost_Himself_(1920_film),Clarence_G._Badger
Consuelita,Roberto_Roberti
Carry_On_Emmannuelle,Gerald_Thomas
The_Powers_of_Matthew_Star,Barry_Crane
Leviathan_(1989_film),George_P._Cosmatos
Argo_(2006_film),Jordan_Bayne
This_Man_Is_News,David_MacDonald_(director)
A_Safe_Place,Henry_Jaglom
Loud_as_a_Whisper,Larry_Shaw_(director)
Flo,Marc_Daniels
La_Badil,Dominic_Brown_(filmmaker)
The_Eternal_Triangle_(film),Frank_Wilson_(director)
East_of_Sumatra,Budd_Boetticher
Crazy_Mixed_Up_Pup,Tex_Avery
Interns_(sitcom),Maksim_Pezhemsky
The_Ugly_Duckling_(1939_film),Clyde_Geronimi
In_the_Courtyard,Pierre_Salvadori
Ulysses'_Gaze,Theo_Angelopoulos
All_Souls_Day_(film),Jeremy_Kasten
Lord_Jim_(1965_film),Richard_Brooks
Hornet's_Nest_(1923_film),Walter_West_(director)
A_Song_Goes_Round_the_World,Richard_Oswald
The_Country_Lovers,Mack_Sennett
Jag_Mandir_(film),Werner_Herzog
The_Way_We_Were,Sydney_Pollack
Aaj_Ka_M.L.A._Ram_Avtar,Dasari_Narayana_Rao
Lightnin'_Crandall,Sam_Newfield
Un_chant_d'amour,Jean_Genet
Hollywood_High_(2003_film),Bruce_Sinofsky
Barbary_Coast_(film),Howard_Hawks
Captain_Thunder_(film),Alan_Crosland
Cat_People_(1942_film),Jacques_Tourneur
Usha_Parinayam__Usha_Parinayam__1,Kadaru_Nagabhushanam
Daivathinte_Vikrithikal,Lenin_Rajendran
The_Forest_(2009_film),Ashvin_Kumar
4_the_People,Jayaraj
Vaa_Kanna_Vaa,Dasari_Yoganand
Teacher's_Pet_(Buffy_the_Vampire_Slayer),Bruce_Seth_Green
My_Nanny's_Secret,Douglas_Jackson_(filmmaker)
La_cobarde,Ernesto_Alonso
Monk_Comes_Down_the_Mountain,Chen_Kaige
Cavalleria_rusticana_(1982_film),Franco_Zeffirelli
Kubo_and_the_Two_Strings,Travis_Knight_(animator)
Little_Quacker,William_Hanna
Rosemary's_Daughter,Rolf_Thiele
My_Love_Came_Back,Curtis_Bernhardt
Sundaranga_Jaana,Ramesh_Aravind
Vikram_(1986_Tamil_film),Rajasekhar_(director)
Lecherous_Older_Sister,Toshiya_Ueno
Ping_Pong_Playa,Jessica_Yu
It_Happened_in_Flatbush,Ray_McCarey
Chicago_After_Midnight,Ralph_Ince
Koteeswaran,Sundar_Rao_Nadkarni
Perché_uccidi_ancora,Edoardo_Mulargia
Edge_of_Darkness_(2010_film),Martin_Campbell
Orphans_(1998_film),Peter_Mullan
Love_Brewed_in_the_African_Pot,Kwaw_Ansah
Speak_It!_From_the_Heart_of_Black_Nova_Scotia,Sylvia_Hamilton
Back_to_the_Woods_(1918_film),Hal_Roach
Shankar_Salim_Simon,P._Madhavan
The_Yankee_Girl,Jack_J._Clark
Crossroads_(1937_film),Shen_Xiling
Crèvecoeur_(film),Jacques_Dupont_(director)
Feast_of_July,Christopher_Menaul
His_Lordship_(1936_film),Herbert_Mason
Say_One_for_Me,Frank_Tashlin
"He's_Your_Dog,_Charlie_Brown",Bill_Melendez
Art_History_(film),Joe_Swanberg
Carnivel,P._G._Viswambharan
Below_(film),David_Twohy
Samsaram_Adhu_Minsaram,Visu
Man_of_Aran,Robert_J._Flaherty
A_Zed_&_Two_Noughts,Peter_Greenaway
Heart_(1987_film),James_Lemmo
Final_Destination_2,David_R._Ellis
Phillauri_(film),Anshai_Lal
Ivar_(2003_film),T._K._Rajeev_Kumar
Lawn_Gnome_Beach_Party_of_Terror,Dan_Povenmire
The_Affairs_of_Anatol,Cecil_B._DeMille
L'Afrique_en_morceaux,Jihan_El-Tahri
Wings_of_Desire,Wim_Wenders
Charlie_Chan's_Courage,Eugene_Forde
Bayside_Shakedown_The_Final,Katsuyuki_Motohiro
Dangerous_Living:_Coming_Out_in_the_Developing_World,John_Scagliotti
Popi,Arthur_Hiller
Just_a_Gigolo_(1978_film),David_Hemmings
Quicksand_(2002_film),Sam_Firstenberg
"Love,_Life_and_Laughter_(1934_film)",Maurice_Elvey
Ammanilavu,M._D._Rajendran
DC_Showcase:_The_Spectre,Joaquim_Dos_Santos
The_Gambler_Wore_a_Gun,Edward_L._Cahn
Seventeen_Moments_of_Spring,Tatyana_Lioznova
Search_for_Danger,Jack_Bernhard
Rojavanam,Selva_(director)
Save_the_Last_One,Phil_Abraham
Kurukshetra_(2008_film),Major_Ravi
Estate_of_Panic,J._Rupert_Thompson
Los_Irrompibles,Emilio_Vieyra
A_Summer_Tale,Ulf_Malmros
Down_on_Us,Larry_Buchanan
Party_Girl_(TV_series),Steve_Zuckerman
Hoop_Dreams,Steve_James_(producer)
The_Net_2.0,Charles_Winkler
Felicity:_An_American_Girl_Adventure,Nadia_Tass
The_Witches_(1967_film),Mauro_Bolognini
Macintyre's_X-Ray_Film,John_Macintyre
Harris_and_Company,Ivan_Dixon
The_Return_of_Charlie_Chan,Daryl_Duke
Anand_(1986_film),Singeetam_Srinivasa_Rao
Pipe_Dream_(film),John_C._Walsh
Paddington_(film),Paul_King_(director)
Pilot_(Preacher),Seth_Rogen
Baaz,Guru_Dutt
Brahma_Ratham,Chitrapu_Narayana_Rao
Cop_Out_(2010_film),Kevin_Smith
Time_Capsule_(Parks_and_Recreation),Michael_Schur
Yudh_(film),Rajiv_Rai
Safety_in_Numbers_(1930_film),Victor_Schertzinger
Silence_Like_Glass,Carl_Schenkel
Karate_Master__live_film__1,Kazuhiko_Yamaguchi
Unwritten_(House),Greg_Yaitanes
Fury_at_Furnace_Creek,H._Bruce_Humberstone
Walking_My_Baby_Back_Home_(film),Lloyd_Bacon
Selena_(film),Gregory_Nava
Top_of_the_World_(1997_film),Sidney_J._Furie
A_Lucky_Strike,Arthur_Hotaling
Johnny_Cool,William_Asher
Annapolis_(1928_film),Christy_Cabanne
Mula_sa_Puso,Ruel_S._Bayani
The_Expendables_3,Patrick_Hughes_(director)
Bank_Holiday_(film),Carol_Reed
The_Messenger_(1918_film),Arvid_E._Gillstrom
Vaseegara_(film),K._Selva_Bharathy
The_Straits,Rowan_Woods
Anna_Christie_(1930_German-language_film),Jacques_Feyder
Secret_Beyond_the_Door,Fritz_Lang
Perumthachan_(film),Ajayan_(director)
Freshman_Year_(film),Frank_McDonald_(director)
Me_and_My_Pal_(1939_film),Thomas_Bentley
The_Rescuing_Angel,Walter_Edwards_(director)
Scorch_(TV_series),Zane_Buzby
The_Royale,Cliff_Bole
False_Shame,Rudolf_Biebrach
Hogan's_Alley_(film),Roy_Del_Ruth
Panjaa,Vishnuvardhan_(director)
The_Comedy_Company,Ian_McFadyen
High_Society_(1995_TV_series),Michael_Lembeck
Hallmark_Hall_of_Fame,Kirk_Browning
Wings_of_Danger,Terence_Fisher
The_Lineup_(TV_series),Paul_Henreid
Half_a_Sixpence_(film),George_Sidney
Nails_(1992_film),John_Flynn_(director)
Rapture's_Delight,Joe_Daniello
The_Raven's_Dance,Markku_Lehmuskallio
Cover_Story_(2000_film),G._S._Vijayan
Oddworld:_New_'n'_Tasty!,Lorne_Lanning
Bandhu_(2007_film),Prashanta_Nanda
Bars4justice,Queen_Muhammad_Ali
When_Giants_Collide,Christina_Fulton
Strictly_Dishonorable_(1951_film),Norman_Panama
Un-Go,Seiji_Mizushima
The_Traveler_(1974_film),Abbas_Kiarostami
Monroe_(TV_series),Paul_McGuigan_(filmmaker)
Sandy_Claws_(film),Friz_Freleng
Hurricane_Hutch,George_B._Seitz
Johnny_Come_Lately,William_K._Howard
The_Journey_to_Tilsit,Veit_Harlan
Brideshead_Revisited_(TV_serial),Charles_Sturridge
Nanbaka__tv_series__1,Shinji_Takamatsu
Of_Life_and_Love,Mario_Soldati
Layer_Cake_(film),Matthew_Vaughn
Duel_of_Champions,Terence_Young_(director)
Kawakami_Tetsuharu_monogatari_sebangō_16,Eisuke_Takizawa
Week-End_Marriage,Thornton_Freeland
We_Don't_Live_Here_Anymore,John_Curran_(director)
Experiment_Alcatraz,Edward_L._Cahn
Pure_(2009_film),Lisa_Langseth
Bond_of_Silence,Peter_Werner
Siren_(series),Yukihiko_Tsutsumi
Blind_Folly,Reginald_Denham
The_Jeopardy_Room,Richard_Donner
Doraemon:_Nobita's_Three_Visionary_Swordsmen,Tsutomu_Shibayama
Opopomoz,Enzo_D'Alò
Star_Trek_Generations,David_Carson_(director)
Anguish_(1917_film),André_Hugon
The_Innocent_(1985_film),John_Mackenzie_(film_director)
Triangle_(The_X-Files),Chris_Carter_(screenwriter)
Jatra:_Hyalagaad_Re_Tyalagaad,Kedar_Shinde
Mount_Hakkoda_(1977_film),Shirō_Moritani
The_Colony_(1996_film),Tim_Hunter_(director)
The_Bohemian_Soul,Julio_Saraceni
Burned_at_the_Stake,Bert_I._Gordon
Black_Wings_(film),Ewa_Petelska
Priyathama,P._Subramaniam
Akseli_and_Elina,Edvin_Laine
Wingmen_(Flight_of_the_Conchords),Troy_Miller
The_Subway_(Seinfeld),Tom_Cherones
Nammoora_Raja,H._R._Bhargava
Det_kunne_vært_deg,Kåre_Bergstrøm
Ration_Bored,Emery_Hawkins
The_Adventures_of_Lucky_Pierre,Herschell_Gordon_Lewis
Taking_Care_of_Business_(film),Arthur_Hiller
The_Thomas_Crown_Affair_(1968_film),Norman_Jewison
The_Girl_from_Trieste,Pasquale_Festa_Campanile
Hell_on_Earth_(Smash),Paul_McGuigan_(filmmaker)
The_Palermo_Connection,Francesco_Rosi
S.O.S._Coast_Guard,Alan_James
Ben-Hur_(2016_film),Timur_Bekmambetov
Laughing_Anne,Herbert_Wilcox
Glamour_Girl_(1948_film),Arthur_Dreifuss
The_Man_Who_Lost_Himself_(1941_film),Edward_Ludwig
The_Baron_of_Arizona,Samuel_Fuller
Clear_All_Wires!,George_W._Hill
Road_to_Happiness,Phil_Rosen
Not_Only_Mrs._Raut,Gajendra_Ahire
Gambling_on_the_High_Seas,George_Amy
Desperadoes_of_Dodge_City,Philip_Ford_(film_director)
Sorga_Palsoe,Tan_Tjoei_Hock
Love_and_the_Frenchwoman,Jean_Delannoy
The_Thieves_(1959_film),Lucio_Fulci
Courtin'_Wildcats,Jerome_Storm
Yaadgaar_(1984_film),Dasari_Narayana_Rao
"Nikki,_Wild_Dog_of_the_North",Jack_Couffer
Lady_Be_Good_(1928_film),Richard_Wallace_(director)
The_Madagascar_Penguins_in_a_Christmas_Caper,Gary_Trousdale
Dora_Nelson_(1935_film),René_Guissart_(director)
Senso_(film),Luchino_Visconti
Lucky_Ducky_(film),Tex_Avery
The_Serpent_and_the_Rainbow_(film),Wes_Craven
Mixed_Nuts_(1922_film),James_Parrott
Advanced_Documentary_Filmmaking,Jay_Chandrasekhar
The_Littlest_Outlaw,Roberto_Gavaldón
Honeymoon_(1973_film),Hiren_Nag
Panhandle_(film),Lesley_Selander
Inside_the_Box,Sidney_M._Cohen
Cage_of_Girls,Maurice_Cloche
Sailor_Jack's_Reformation,Sidney_Olcott
Oxford_Gardens,Obi_Emelonye
Tropic_Fury,Christy_Cabanne
The_Road_from_Elephant_Pass_(film),Chandran_Rutnam
Thakara,Bharathan
Roman_Legion-Hare,Friz_Freleng
"Lonesome_Luke,_Lawyer",Hal_Roach
Sleeper_(Buffy_the_Vampire_Slayer),Alan_J._Levi
Young_Bess,George_Sidney
The_Greatest_of_All,Carlo_Virzì
Cheaters_(film),John_Stockwell_(actor)
Shakedown_(1988_film),James_Glickenhaus
Do_Detectives_Think%3F,Fred_Guiol
Aabra_Ka_Daabra,Dheeraj_Kumar
What_Would_Jesus_Buy%3F,Rob_VanAlkemade
The_Man_from_Monterey,Mack_V._Wright
Eettillam,Fazil_(director)
Gosainbaganer_Bhoot,Nitish_Roy
Mahanagar,Satyajit_Ray
The_Great_John_L.,Frank_Tuttle
The_King_and_the_People,Simon_Bright
The_Great_Gambler,Shakti_Samanta
The_Last_Ferry,Waldemar_Krzystek
Saving_General_Yang,Ronny_Yu
Oh_My_Goddess!__film__1,Hiroaki_Gōda
Un_clair_de_lune_à_Maubeuge,Jean_Chérasse
A_Rose_for_Everyone,Franco_Rossi_(director)
Poi_(film),K._Balachander
Bliss_(1985_film),Ray_Lawrence_(film_director)
The_Reluctant_Dragon_(film),Hamilton_Luske
"Goodnight,_Sweetheart_(film)",Joseph_Santley
Hope_Kills,Tricia_Brock_(director)
Judgment_(film),Tom_Topor
Young_Husbands,Mauro_Bolognini
The_Wrecking_Crew_(2000_film),Albert_Pyun
The_Sponge_Who_Could_Fly,Walt_Dohrn
Yo-Yo_Girl_Cop,Kenta_Fukasaku
The_Strip_(U.S._TV_series),D._J._Caruso
One_Crowded_Night,Irving_Reis
The_Patriot_(2000_film),Roland_Emmerich
A_Man's_Shadow,Sidney_Morgan
David_Bek_(film),Hamo_Beknazarian
Labu_dan_Labi,P._Ramlee
Khandan_(1965_film),A._Bhimsingh
Jolly_LLB,Subhash_Kapoor
Jungle_Raiders_(serial),Lesley_Selander
Sharktopus,Declan_O'Brien
Temper_(film),Puri_Jagannadh
Madame_Récamier_(1928_film),Tony_Lekain
The_Katnips_of_1940,Manny_Gould
Ken_Park,Edward_Lachman
Majaa_Talkies,Srujan_Lokesh
The_Collection_(film),Marcus_Dunstan
One_Glorious_Day,James_Cruze
The_Labour_Leader,Thomas_Bentley
A_Storm_Over_Zakopane,Domenico_Gambino
Ghayal_(1990_film),Rajkumar_Santoshi
Spies_Reminiscent_of_Us,Cyndi_Tang
Shankar_Guru_(1978_film),V._Somashekhar
Whore_(1991_film),Ken_Russell
Nandhi_(film),D._Rajendra_Babu
Bluff_(1924_film),Sam_Wood
The_Gaucho_Priest,Lucas_Demare
I'm_Your_Man_(film),Bob_Bejan
It_Happened_in_Brooklyn,Richard_Whorf
Mexican_Hayride,Charles_Barton_(director)
The_Train_Robbers,Burt_Kennedy
Why_Girls_Go_Back_Home,James_Flood
The_Barrier_(1979_film),Christo_Christov
The_Good_Life_(1971_TV_series),Claudio_Guzmán
Spy_Smasher_(serial),William_Witney
Pangako_Sa_'Yo_(2015_TV_series),Cathy_Garcia-Molina
Il_Posto,Ermanno_Olmi
Sattam,K._Vijayan
Terra_Formars__live_film__1,Takashi_Miike
Hawas,Saawan_Kumar_Tak
Demonium,Andreas_Schnaas
Chinnari_Mutha,T._S._Nagabharana
Alice_in_Wonderland_(1999_film),Nick_Willing
La_Moustache,Emmanuel_Carrère
The_Green_Archer_(1925_serial),Spencer_Gordon_Bennet
Soho_Incident,Vernon_Sewell
The_Miracle_of_Morgan's_Creek,Preston_Sturges
Helmsman_Holk,Ludwig_Wolff
A_Chairy_Tale,Evelyn_Lambart
Konga_(film),John_Lemont
Lava_Kusa,C._S._Rao
Scream_(1996_film),Wes_Craven
"Hush…_Hush,_Sweet_Charlotte",Robert_Aldrich
Flirtation_Walk,Frank_Borzage
Kadhal_Parisu,A._Jagannathan
Bluebeard's_8th_Wife,Sam_Wood
The_Big_Broadcast_of_1938,Mitchell_Leisen
Nixchen,Kurt_Blachy
Mad_Dogs_(U.S._TV_series),Guy_Ferland
Crayon_Shin-chan:_Adventure_in_Henderland,Mitsuru_Hongo
Belle_Épine,Rebecca_Zlotowski
The_Liberation_of_Skopje_(2016_film),Rade_Šerbedžija
The_Passion_of_Marie,Bille_August
Conviction_(2010_film),Tony_Goldwyn
Jump_Tomorrow,Joel_Hopkins
The_Kidnapper,Leopoldo_Torre_Nilsson
Dirty_Diaries,Ester_Martin_Bergsmark
Ground_Control_to_Psychoelectric_Girl__tv_series__1,Akiyuki_Shinbo
Beyond_Rangoon,John_Boorman
Cartman_Joins_NAMBLA,Eric_Stough
Young_Sinners_(1958_film),Marcel_Carné
Future_GPX_Cyber_Formula,Mitsuo_Fukuda
The_Don_Knotts_Show,Norman_Abbott
The_49th_Man,Fred_F._Sears
The_Tunnel_Under_the_World_(film),Luigi_Cozzi
"Novia,_Esposa_y_Amante",Tulio_Demicheli
Meendum_Savithri,Visu
Indifference_(The_Walking_Dead),Tricia_Brock_(director)
The_Washington_Masquerade,Charles_Brabin
The_Incentive,Charles_McDougall
The_Last_Ball_in_November,Dan_Pița
